threshold,TPR,FPR
9.999999747378752e-06,1.0,1.0
1.4873522559355479e-05,1.0,0.9852941176470589
2.2122167138149962e-05,1.0,0.9779411764705882
3.2903451938182116e-05,1.0,0.9705882352941176
4.893902223557234e-05,1.0,0.9632352941176471
7.278956763911992e-05,1.0,0.9485294117647058
0.00010826366633409634,1.0,0.8970588235294118
0.00016102619701996446,1.0,0.8602941176470589
0.0002395026822341606,1.0,0.7720588235294118
0.00035622483119368553,1.0,0.6985294117647058
0.0005298317992128432,1.0,0.6176470588235294
0.0007880465127527714,1.0,0.5735294117647058
0.0011721020564436913,0.875,0.40441176470588236
0.0017433286411687732,0.875,0.3235294117647059
0.0025929436087608337,0.875,0.2426470588235294
0.003856620518490672,0.875,0.20588235294117646
0.005736153107136488,0.875,0.11764705882352941
0.008531680330634117,0.625,0.08823529411764706
0.01268961001187563,0.625,0.058823529411764705
0.0188739150762558,0.75,0.029411764705882353
0.028072157874703407,0.5,0.007352941176470588
0.04175318777561188,0.5,0.0
0.06210169568657875,0.5,0.0
0.09236709773540497,0.25,0.0
0.1373823583126068,0.125,0.0
0.20433597266674042,0.125,0.0
0.30391955375671387,0.125,0.0
0.4520353674888611,0.125,0.0
0.6723357439041138,0.125,0.0
1.0,0.125,0.0
