threshold,TPR,FPR
9.999999747378752e-06,1.0,1.0
1.6102629160741344e-05,1.0,1.0
2.5929437470040284e-05,1.0,1.0
4.175321009824984e-05,1.0,0.9558823529411765
6.723357364535332e-05,1.0,0.9411764705882353
0.00010826366633409634,1.0,0.8676470588235294
0.00017433286120649427,1.0,0.8455882352941176
0.00028072157874703407,1.0,0.7794117647058824
0.0004520353104453534,1.0,0.7352941176470589
0.0007278956472873688,1.0,0.7058823529411765
0.0011721027549356222,1.0,0.7058823529411765
0.0018873924855142832,0.875,0.5955882352941176
0.00303919636644423,0.875,0.4485294117647059
0.004893902223557234,0.875,0.3382352941176471
0.007880465127527714,0.625,0.2426470588235294
0.012689606286585331,0.75,0.21323529411764705
0.020433591678738594,0.75,0.14705882352941177
0.032903436571359634,0.5,0.16176470588235295
0.05298316478729248,0.375,0.14705882352941177
0.08531677722930908,0.5,0.125
0.1373823583126068,0.25,0.125
0.22122159600257874,0.25,0.11029411764705882
0.35622474551200867,0.25,0.07352941176470588
0.5736151933670044,0.125,0.022058823529411766
0.923670768737793,0.0,0.0
1.4873520135879517,0.0,0.0
2.395026445388794,0.0,0.0
3.8566205501556396,0.0,0.0
6.210169315338135,0.0,0.0
10.0,0.0,0.0
