threshold,TPR,FPR
9.999999747378752e-06,1.0,0.9044117647058824
1.6102629160741344e-05,1.0,0.8823529411764706
2.5929437470040284e-05,0.875,0.8602941176470589
4.175321009824984e-05,0.875,0.7867647058823529
6.723357364535332e-05,0.875,0.7058823529411765
0.00010826366633409634,0.875,0.6397058823529411
0.00017433286120649427,0.875,0.5294117647058824
0.00028072157874703407,0.875,0.41911764705882354
0.0004520353104453534,0.75,0.25735294117647056
0.0007278956472873688,0.75,0.18382352941176472
0.0011721027549356222,0.75,0.11764705882352941
0.0018873924855142832,0.75,0.09558823529411764
0.00303919636644423,0.75,0.051470588235294115
0.004893902223557234,0.625,0.04411764705882353
0.007880465127527714,0.625,0.007352941176470588
0.012689606286585331,0.5,0.007352941176470588
0.020433591678738594,0.5,0.0
0.032903436571359634,0.5,0.0
0.05298316478729248,0.375,0.0
0.08531677722930908,0.375,0.0
0.1373823583126068,0.25,0.0
0.22122159600257874,0.125,0.0
0.35622474551200867,0.125,0.0
0.5736151933670044,0.0,0.0
0.923670768737793,0.0,0.0
1.4873520135879517,0.0,0.0
2.395026445388794,0.0,0.0
3.8566205501556396,0.0,0.0
6.210169315338135,0.0,0.0
10.0,0.0,0.0
